Attrition,Age,MonthlyIncome,DistanceFromHome,Education,Department,JobRole,MaritalStatus,Gender,OverTime,JobSatisfaction,EmployeeNumber,YearsAtCompany
No,44,5454,1,5,Sales,Sales Executive,Divorced,Female,Yes,1,68,4
No,35,9884,11,2,Research & Development,Healthcare Representative,Married,Male,Yes,1,70,4
No,26,4157,23,3,Sales,Sales Executive,Married,Female,Yes,4,72,2
No,33,13458,1,2,Research & Development,Research Director,Single,Female,Yes,4,73,15
No,35,9069,18,5,Sales,Sales Executive,Married,Male,No,1,74,9
No,35,4014,23,4,Research & Development,Laboratory Technician,Married,Female,Yes,1,75,2
No,31,5915,7,4,Research & Development,Laboratory Technician,Divorced,Male,No,4,76,7
No,37,5993,1,4,Research & Development,Manufacturing Director,Divorced,Male,No,3,77,7
No,32,6162,1,3,Research & Development,Manufacturing Director,Married,Male,Yes,4,78,9
No,38,2406,29,5,Research & Development,Laboratory Technician,Single,Female,No,4,79,10
No,50,18740,7,2,Research & Development,Research Director,Divorced,Female,Yes,3,80,27
No,59,7637,25,3,Sales,Sales Executive,Single,Female,No,1,81,21
No,36,10096,8,3,Research & Development,Healthcare Representative,Divorced,Female,No,3,83,17
No,55,14756,8,3,Research & Development,Manager,Divorced,Female,Yes,3,84,5
No,36,6499,11,3,Research & Development,Manufacturing Director,Single,Male,No,2,85,6
No,45,9724,7,3,Research & Development,Research Scientist,Divorced,Male,No,1,86,1
No,35,2194,1,3,Research & Development,Research Scientist,Married,Male,No,1,88,3
Yes,36,3388,9,3,Research & Development,Research Scientist,Married,Male,Yes,3,90,1
No,59,5473,1,1,Sales,Sales Executive,Single,Female,No,3,91,4
No,29,2703,2,3,Research & Development,Research Scientist,Married,Male,No,2,94,5
No,31,2501,1,4,Research & Development,Research Scientist,Single,Male,No,2,95,1
No,32,6220,1,3,Research & Development,Research Scientist,Married,Male,No,2,96,10
No,36,3038,6,3,Research & Development,Laboratory Technician,Married,Female,No,4,97,1
No,31,4424,8,4,Research & Development,Manufacturing Director,Single,Female,No,4,98,11
No,35,4312,1,4,Sales,Sales Executive,Single,Male,No,1,100,15
No,45,13245,6,4,Research & Development,Research Director,Married,Male,Yes,1,101,0
No,37,13664,7,4,Research & Development,Research Director,Single,Male,No,3,102,5
No,46,5021,5,2,Human Resources,Human Resources,Divorced,Male,Yes,2,103,4
No,30,5126,1,1,Research & Development,Laboratory Technician,Married,Male,Yes,4,104,10
No,35,2859,1,3,Research & Development,Research Scientist,Single,Male,No,3,105,6
No,55,10239,1,2,Sales,Sales Executive,Married,Male,No,4,106,1
No,38,5329,6,3,Research & Development,Research Scientist,Divorced,Female,Yes,4,107,13
No,34,4325,1,2,Research & Development,Manufacturing Director,Married,Male,No,2,110,5
No,56,7260,7,3,Research & Development,Manufacturing Director,Single,Male,No,4,112,6
No,23,2322,2,1,Sales,Sales Representative,Divorced,Male,No,1,113,0
No,51,2075,9,4,Research & Development,Laboratory Technician,Married,Male,No,4,116,4
No,30,4152,2,3,Research & Development,Healthcare Representative,Married,Male,No,4,117,11
Yes,46,9619,9,2,Sales,Sales Executive,Single,Male,No,4,118,9
No,40,13503,1,4,Research & Development,Healthcare Representative,Married,Male,No,2,119,22
No,51,5441,21,4,Sales,Sales Executive,Single,Male,Yes,4,120,10
No,30,5209,4,2,Sales,Sales Executive,Divorced,Female,Yes,2,121,11
No,46,10673,1,3,Research & Development,Healthcare Representative,Married,Male,Yes,1,124,10
No,32,5010,6,4,Sales,Sales Executive,Single,Male,No,3,125,11
No,54,13549,2,4,Research & Development,Research Director,Married,Female,No,3,126,4
No,24,4999,3,2,Sales,Sales Executive,Married,Female,No,3,128,3
No,28,4221,4,3,Sales,Sales Executive,Married,Male,No,3,129,5
No,58,13872,10,4,Sales,Sales Executive,Single,Male,No,3,131,37
No,44,2042,23,3,Research & Development,Laboratory Technician,Married,Male,No,2,132,3
Yes,37,2073,6,4,Human Resources,Human Resources,Divorced,Male,Yes,1,133,3
No,32,2956,1,1,Research & Development,Research Scientist,Single,Male,No,1,134,1
Yes,20,2926,6,3,Research & Development,Laboratory Technician,Single,Female,Yes,4,137,1
No,34,4809,6,4,Research & Development,Research Scientist,Single,Female,No,3,138,16
No,37,5163,2,2,Research & Development,Healthcare Representative,Divorced,Male,No,4,139,1
No,59,18844,2,4,Human Resources,Manager,Married,Female,No,4,140,3
No,50,18172,1,3,Research & Development,Research Director,Married,Female,Yes,2,141,8
Yes,25,5744,5,3,Sales,Sales Executive,Single,Male,Yes,3,142,6
No,25,2889,7,1,Research & Development,Research Scientist,Married,Male,No,4,143,2
No,22,2871,15,3,Research & Development,Laboratory Technician,Single,Female,No,4,144,0
No,51,7484,1,4,Research & Development,Healthcare Representative,Single,Female,No,1,145,13
Yes,34,6074,7,3,Research & Development,Laboratory Technician,Single,Male,Yes,3,147,9
No,54,17328,26,3,Human Resources,Manager,Single,Female,Yes,4,148,5
No,24,2774,18,1,Research & Development,Laboratory Technician,Married,Male,No,3,150,5
No,34,4505,6,4,Research & Development,Research Scientist,Divorced,Female,No,2,151,1
No,37,7428,3,3,Sales,Sales Executive,Single,Male,No,4,152,5
No,34,11631,5,3,Research & Development,Manager,Single,Female,No,1,153,11
No,36,9738,11,2,Sales,Sales Executive,Married,Female,No,4,154,9
No,36,2835,3,2,Research & Development,Laboratory Technician,Divorced,Female,No,4,155,1
No,43,16959,26,2,Sales,Manager,Married,Male,Yes,4,158,25
No,30,2613,23,3,Research & Development,Research Scientist,Divorced,Male,No,3,159,10
No,33,6146,22,2,Sales,Sales Executive,Married,Male,No,2,160,7
Yes,56,4963,14,4,Research & Development,Research Scientist,Married,Female,Yes,2,161,5
No,51,19537,6,3,Research & Development,Research Director,Single,Male,No,3,162,20
Yes,31,6172,6,4,Sales,Sales Executive,Married,Male,Yes,3,163,7
No,26,2368,6,3,Research & Development,Research Scientist,Married,Female,No,2,164,5
Yes,58,10312,23,4,Research & Development,Healthcare Representative,Married,Female,No,4,165,40
Yes,19,1675,22,1,Sales,Sales Representative,Single,Male,Yes,3,167,0
No,22,2523,2,1,Research & Development,Laboratory Technician,Married,Male,No,4,169,2
No,49,6567,20,4,Research & Development,Manufacturing Director,Married,Female,No,1,170,15
No,43,4739,28,3,Research & Development,Research Scientist,Single,Female,No,3,171,3
No,50,9208,12,3,Sales,Sales Executive,Single,Female,No,4,174,2
Yes,31,4559,20,3,Sales,Sales Executive,Married,Female,Yes,3,175,2
No,41,8189,9,1,Sales,Sales Executive,Divorced,Male,Yes,3,176,9
No,26,2942,25,1,Human Resources,Human Resources,Married,Female,No,3,177,8
No,36,4941,6,2,Research & Development,Manufacturing Director,Divorced,Male,No,2,178,3
Yes,51,10650,8,4,Research & Development,Manufacturing Director,Single,Male,No,4,179,4
No,39,5902,4,4,Sales,Sales Executive,Married,Female,No,3,182,15
No,25,8639,28,3,Sales,Sales Executive,Married,Male,No,3,183,2
No,30,6347,9,3,Human Resources,Human Resources,Married,Male,Yes,4,184,11
Yes,32,4200,9,3,Research & Development,Laboratory Technician,Single,Female,No,1,190,5
No,45,3452,29,3,Research & Development,Research Scientist,Single,Male,No,4,192,6
No,38,4317,3,5,Research & Development,Research Scientist,Single,Female,Yes,3,193,3
No,30,2632,18,3,Research & Development,Research Scientist,Single,Female,No,3,194,5
No,32,4668,9,2,Sales,Sales Executive,Divorced,Male,No,4,195,8
No,30,3204,5,3,Research & Development,Research Scientist,Divorced,Female,No,1,197,3
No,30,2720,2,1,Research & Development,Laboratory Technician,Single,Male,No,4,198,5
No,41,17181,10,3,Research & Development,Manager,Divorced,Male,No,1,199,7
No,41,2238,9,4,Research & Development,Laboratory Technician,Married,Male,No,1,200,5
No,19,1483,3,1,Research & Development,Laboratory Technician,Single,Female,No,2,201,1
No,40,5605,26,3,Research & Development,Research Scientist,Divorced,Female,No,2,202,20
No,35,7295,1,5,Sales,Sales Executive,Married,Male,No,2,204,10
No,53,2306,6,2,Sales,Sales Representative,Married,Male,Yes,3,205,7
No,45,2348,9,3,Research & Development,Laboratory Technician,Divorced,Male,No,2,206,17
No,32,8998,8,3,Sales,Sales Executive,Single,Female,No,4,207,9
No,29,4319,1,1,Research & Development,Manufacturing Director,Married,Male,No,3,208,10
No,51,6132,7,4,Research & Development,Manufacturing Director,Married,Male,No,3,211,1
No,58,3346,9,3,Research & Development,Research Scientist,Married,Female,Yes,2,214,1
No,40,10855,4,4,Sales,Sales Executive,Married,Male,No,4,215,12
No,34,2231,2,4,Sales,Sales Representative,Married,Female,No,3,216,4
No,22,2323,19,1,Research & Development,Research Scientist,Married,Male,No,4,217,2
No,27,2024,9,3,Research & Development,Research Scientist,Divorced,Male,No,2,218,2
No,28,2713,21,3,Research & Development,Research Scientist,Married,Male,No,4,221,5
No,57,9439,24,2,Research & Development,Healthcare Representative,Divorced,Male,Yes,4,223,5
No,27,2566,3,3,Research & Development,Research Scientist,Divorced,Male,Yes,3,224,1
No,50,19926,11,3,Research & Development,Manager,Single,Female,No,2,226,5
No,41,2451,14,3,Research & Development,Research Scientist,Divorced,Male,No,3,227,9
No,30,9419,5,3,Sales,Sales Executive,Married,Female,No,4,228,10
No,38,8686,1,4,Sales,Sales Executive,Single,Female,No,4,230,8
No,32,3038,6,5,Research & Development,Research Scientist,Single,Male,No,3,231,5
No,27,3058,17,3,Research & Development,Research Scientist,Married,Male,Yes,2,233,5
Yes,19,2325,1,1,Sales,Sales Representative,Single,Female,No,1,235,0
No,36,2088,3,2,Research & Development,Laboratory Technician,Single,Male,No,2,238,8
No,30,3072,9,3,Research & Development,Laboratory Technician,Divorced,Male,No,1,239,12
No,45,5006,4,2,Sales,Sales Executive,Divorced,Female,Yes,1,240,5
No,56,4257,8,3,Research & Development,Research Scientist,Divorced,Female,Yes,1,241,2
No,33,2500,2,3,Research & Development,Research Scientist,Single,Male,No,4,242,3
Yes,19,1102,2,3,Research & Development,Laboratory Technician,Single,Male,No,4,243,1
No,46,10453,1,2,Sales,Sales Executive,Divorced,Female,No,1,244,24
No,38,2288,9,2,Research & Development,Laboratory Technician,Single,Female,No,4,245,2
No,31,3929,12,1,Research & Development,Research Scientist,Married,Female,Yes,4,246,4
No,34,2311,27,2,Research & Development,Research Scientist,Single,Female,No,2,247,3
Yes,41,3140,20,2,Sales,Sales Representative,Single,Female,Yes,2,248,4
No,50,3690,1,3,Research & Development,Laboratory Technician,Married,Male,No,3,249,3
No,53,4450,13,2,Research & Development,Manufacturing Director,Divorced,Female,No,1,250,4
No,33,2756,14,3,Research & Development,Research Scientist,Married,Female,No,2,252,8
No,40,19033,4,1,Research & Development,Manager,Married,Female,No,3,253,20
No,55,18722,14,4,Research & Development,Research Director,Single,Male,No,2,254,24
No,34,9547,2,1,Research & Development,Manufacturing Director,Married,Male,No,3,256,10
No,51,13734,3,3,Research & Development,Healthcare Representative,Single,Female,No,2,258,7
No,52,19999,1,4,Research & Development,Manager,Married,Male,No,3,259,33
No,27,2279,9,3,Research & Development,Research Scientist,Single,Female,No,2,260,7
Yes,35,5916,23,2,Research & Development,Manufacturing Director,Married,Male,Yes,3,261,1
No,43,2089,7,3,Research & Development,Research Scientist,Divorced,Male,No,4,262,5
No,45,16792,2,2,Research & Development,Manager,Married,Male,No,4,264,20
No,37,3564,21,3,Research & Development,Research Scientist,Married,Male,Yes,1,267,8
No,35,4425,2,3,Research & Development,Laboratory Technician,Single,Female,No,2,269,6
No,42,5265,21,2,Research & Development,Manufacturing Director,Divorced,Female,No,3,270,5
No,38,6553,2,4,Research & Development,Manufacturing Director,Married,Male,No,3,271,1
No,38,6261,29,3,Research & Development,Manufacturing Director,Married,Male,No,4,273,7
No,27,4298,1,1,Research & Development,Manufacturing Director,Married,Male,No,1,274,2
No,49,6804,18,4,Research & Development,Manufacturing Director,Divorced,Male,Yes,4,275,7
No,34,3815,10,4,Research & Development,Research Scientist,Divorced,Male,Yes,3,277,5
No,40,2741,19,2,Research & Development,Laboratory Technician,Married,Male,Yes,4,281,7
Yes,38,6673,29,1,Research & Development,Healthcare Representative,Married,Male,Yes,1,282,1
Yes,29,7639,27,3,Sales,Sales Executive,Married,Female,No,4,283,10
No,22,2328,5,3,Research & Development,Research Scientist,Divorced,Male,Yes,2,284,4
No,36,2153,18,1,Research & Development,Laboratory Technician,Single,Female,No,4,286,8
No,40,4876,9,5,Research & Development,Healthcare Representative,Married,Male,No,4,287,3
No,46,9396,1,4,Research & Development,Healthcare Representative,Divorced,Male,No,1,288,4
Yes,32,10400,4,4,Sales,Sales Executive,Married,Male,No,4,291,14
No,30,8474,1,1,Research & Development,Manufacturing Director,Single,Male,No,3,292,11
No,27,9981,20,3,Sales,Sales Executive,Single,Female,No,3,293,7
No,51,12490,8,4,Research & Development,Research Director,Married,Male,No,2,296,10
Yes,30,2657,3,3,Research & Development,Research Scientist,Single,Female,Yes,1,297,5
No,41,13591,6,3,Sales,Manager,Single,Female,Yes,4,298,1
Yes,30,6696,26,4,Sales,Sales Executive,Single,Female,No,1,299,6
Yes,29,2058,1,3,Research & Development,Research Scientist,Single,Male,No,3,300,6
No,45,8865,6,3,Sales,Sales Executive,Single,Female,No,4,302,19
No,54,5940,3,3,Sales,Sales Executive,Married,Female,No,1,303,6
No,36,5914,5,2,Research & Development,Laboratory Technician,Single,Male,No,2,304,13
No,33,2622,4,4,Research & Development,Research Scientist,Married,Female,No,2,305,3
No,37,12185,11,3,Research & Development,Research Director,Divorced,Male,Yes,4,306,10
No,38,10609,3,3,Sales,Sales Executive,Divorced,Male,No,3,307,16
No,31,4345,1,4,Research & Development,Manufacturing Director,Married,Male,No,3,308,5
No,59,2177,3,3,Research & Development,Research Scientist,Married,Male,No,4,309,1
No,37,2793,4,4,Sales,Sales Representative,Divorced,Male,No,4,311,9
No,29,7918,1,1,Sales,Sales Executive,Married,Female,No,4,312,11
No,35,8789,1,3,Sales,Sales Executive,Single,Female,No,3,314,10
Yes,29,2389,18,1,Research & Development,Research Scientist,Single,Male,Yes,4,315,4
No,52,3212,2,3,Research & Development,Laboratory Technician,Single,Female,No,4,316,2
No,42,19232,4,2,Research & Development,Manager,Married,Male,No,4,319,22
No,59,2267,6,2,Human Resources,Human Resources,Married,Male,No,3,321,2
No,50,19517,1,4,Sales,Manager,Divorced,Female,No,4,323,7
Yes,33,2436,14,3,Research & Development,Laboratory Technician,Married,Male,Yes,4,325,5
No,43,16064,16,3,Sales,Manager,Married,Female,Yes,4,327,17
Yes,33,2707,2,2,Research & Development,Laboratory Technician,Married,Female,No,1,328,9
No,52,19068,2,4,Sales,Manager,Single,Male,Yes,3,329,33
No,32,3931,4,2,Sales,Sales Representative,Married,Female,No,2,330,4
Yes,32,3730,1,3,Research & Development,Laboratory Technician,Single,Male,Yes,3,331,3
No,39,2232,1,4,Research & Development,Laboratory Technician,Divorced,Female,No,3,332,3
No,32,4465,26,4,Sales,Sales Executive,Married,Male,No,4,333,3
No,41,3072,19,2,Research & Development,Research Scientist,Divorced,Male,No,1,334,1
No,40,3319,24,2,Research & Development,Research Scientist,Divorced,Male,No,4,335,9
No,45,19202,1,3,Research & Development,Manager,Married,Male,No,4,336,24
No,31,13675,3,4,Research & Development,Research Director,Divorced,Male,No,3,337,2
No,33,2911,5,4,Research & Development,Research Scientist,Married,Female,No,4,338,2
No,34,5957,2,4,Research & Development,Manufacturing Director,Married,Male,No,1,339,11
No,37,3920,1,2,Research & Development,Research Scientist,Married,Female,No,1,340,3
No,45,6434,7,4,Research & Development,Manufacturing Director,Married,Male,No,3,341,3
Yes,37,10048,10,3,Research & Development,Manufacturing Director,Divorced,Male,No,3,342,1
No,39,10938,2,4,Research & Development,Healthcare Representative,Single,Female,No,3,343,19
No,29,2340,15,3,Research & Development,Research Scientist,Single,Male,No,4,346,6
No,42,6545,17,2,Research & Development,Research Scientist,Single,Female,Yes,1,347,3
No,29,6931,20,2,Sales,Sales Executive,Divorced,Male,No,4,349,3
No,25,4898,1,3,Research & Development,Manufacturing Director,Married,Female,No,3,350,4
No,42,2593,2,3,Research & Development,Laboratory Technician,Divorced,Female,Yes,1,351,9
No,40,19436,2,2,Research & Development,Research Director,Divorced,Male,No,3,352,21
No,51,2723,1,3,Research & Development,Research Scientist,Married,Male,No,4,353,1
Yes,31,3479,29,2,Research & Development,Laboratory Technician,Single,Male,No,2,355,5
No,32,2794,7,3,Research & Development,Laboratory Technician,Married,Male,No,2,359,5
No,38,5249,2,2,Sales,Sales Executive,Married,Male,No,4,361,8
No,32,2176,2,1,Research & Development,Laboratory Technician,Single,Male,No,1,362,6
No,46,16872,2,3,Sales,Manager,Married,Female,Yes,2,363,7
Yes,28,3485,2,4,Research & Development,Laboratory Technician,Single,Male,No,3,364,0
No,29,6644,2,3,Sales,Sales Executive,Married,Male,No,2,366,0
No,31,5582,23,3,Research & Development,Healthcare Representative,Married,Male,No,4,367,9
No,25,4000,5,2,Research & Development,Healthcare Representative,Divorced,Male,No,1,369,6
No,45,13496,20,2,Research & Development,Healthcare Representative,Married,Male,Yes,4,372,20
No,36,3210,6,3,Research & Development,Laboratory Technician,Married,Male,No,4,373,15
No,55,19045,1,3,Research & Development,Manager,Single,Male,Yes,1,374,36
Yes,47,11849,29,4,Research & Development,Manager,Married,Male,Yes,2,376,10
No,28,2070,9,3,Research & Development,Research Scientist,Married,Male,No,4,377,5
No,37,6502,6,4,Sales,Sales Executive,Married,Male,No,4,378,5
No,21,3230,3,2,Research & Development,Research Scientist,Single,Male,No,3,379,3
No,37,13603,1,4,Research & Development,Research Director,Divorced,Female,Yes,4,380,5
No,35,11996,22,3,Research & Development,Manager,Divorced,Female,No,2,381,7
No,38,5605,7,2,Sales,Sales Executive,Divorced,Female,Yes,1,382,8
No,26,6397,1,3,Research & Development,Manufacturing Director,Divorced,Female,No,2,384,6
No,50,19144,4,1,Research & Development,Research Director,Divorced,Male,No,2,385,10
No,53,17584,3,4,Research & Development,Research Director,Married,Male,Yes,3,386,5
No,42,4907,1,1,Sales,Sales Executive,Married,Male,No,3,387,20
No,29,4554,2,2,Sales,Sales Executive,Single,Male,No,4,388,10
No,55,5415,20,2,Research & Development,Laboratory Technician,Married,Male,Yes,4,389,10
No,26,4741,11,2,Research & Development,Healthcare Representative,Married,Male,Yes,1,390,5
No,37,2115,1,3,Research & Development,Research Scientist,Single,Female,No,4,391,17
Yes,44,3161,24,3,Research & Development,Laboratory Technician,Divorced,Male,Yes,3,392,1
No,38,5745,23,4,Research & Development,Healthcare Representative,Divorced,Male,No,4,393,2
Yes,26,2373,16,4,Research & Development,Laboratory Technician,Divorced,Male,Yes,2,394,3
No,28,3310,8,2,Research & Development,Research Scientist,Single,Female,No,4,395,5
No,49,18665,10,4,Research & Development,Research Director,Single,Female,Yes,1,396,3
No,36,4485,3,3,Research & Development,Research Scientist,Single,Male,No,2,397,8
No,31,2789,5,3,Sales,Sales Representative,Divorced,Female,No,2,399,2
Yes,26,5828,4,4,Sales,Sales Executive,Single,Male,Yes,4,401,8
No,37,2326,9,3,Research & Development,Research Scientist,Married,Male,Yes,4,403,4
No,42,13525,26,3,Sales,Sales Executive,Married,Female,No,2,404,20
Yes,18,1420,3,3,Research & Development,Laboratory Technician,Single,Male,No,3,405,0
No,35,8020,16,3,Sales,Sales Executive,Married,Male,No,2,406,11
No,36,3688,18,4,Research & Development,Laboratory Technician,Married,Male,No,4,407,1
No,51,5482,2,3,Research & Development,Manufacturing Director,Divorced,Male,No,2,408,4
No,41,16015,2,4,Sales,Manager,Single,Male,No,2,410,22
No,18,1200,10,3,Sales,Sales Representative,Single,Female,No,3,411,0
No,28,5661,16,2,Research & Development,Healthcare Representative,Single,Male,No,1,412,8
No,31,6929,7,3,Sales,Sales Executive,Married,Male,No,4,416,8
No,39,9613,1,3,Research & Development,Healthcare Representative,Divorced,Male,No,4,417,18
No,36,5674,24,4,Research & Development,Laboratory Technician,Married,Female,No,2,419,9
No,32,5484,7,3,Sales,Sales Executive,Married,Male,No,3,420,13
No,38,12061,25,2,Research & Development,Research Director,Married,Female,No,2,421,10
No,58,5660,1,4,Research & Development,Healthcare Representative,Divorced,Male,Yes,3,422,5
No,31,4821,5,4,Research & Development,Research Scientist,Married,Male,Yes,4,423,5
No,31,6410,2,3,Human Resources,Human Resources,Married,Male,No,1,424,2
No,45,5210,7,3,Research & Development,Laboratory Technician,Divorced,Male,No,1,425,24
No,31,2695,2,4,Research & Development,Research Scientist,Divorced,Male,Yes,4,426,2
No,33,11878,5,4,Research & Development,Manager,Married,Female,No,2,428,10
No,39,17068,10,1,Research & Development,Manager,Married,Male,Yes,1,429,21
No,43,2455,10,4,Research & Development,Laboratory Technician,Single,Female,No,4,430,8
No,49,13964,1,2,Research & Development,Healthcare Representative,Single,Female,Yes,3,431,7
Yes,52,4941,8,4,Research & Development,Research Scientist,Married,Male,No,2,433,8
No,27,2478,5,3,Research & Development,Research Scientist,Single,Female,Yes,2,434,4
No,32,5228,8,2,Sales,Sales Executive,Married,Female,Yes,2,436,13
No,27,4478,2,3,Sales,Sales Executive,Single,Male,Yes,3,437,5
No,31,7547,7,3,Sales,Sales Executive,Divorced,Male,No,4,438,7
No,32,5055,2,4,Research & Development,Research Scientist,Single,Female,No,4,439,7
Yes,28,3464,2,4,Research & Development,Research Scientist,Married,Male,Yes,4,440,3
No,30,5775,28,2,Research & Development,Research Scientist,Married,Female,No,4,441,10
No,31,8943,7,2,Research & Development,Manufacturing Director,Married,Female,No,3,442,10
No,39,19272,7,2,Research & Development,Manager,Married,Male,No,4,444,21
Yes,39,5238,3,2,Sales,Sales Executive,Married,Female,Yes,3,445,1
No,33,4682,10,3,Sales,Sales Executive,Single,Male,No,4,446,7
No,47,18300,5,5,Research & Development,Research Director,Married,Male,No,3,447,3
No,43,5257,10,4,Research & Development,Laboratory Technician,Divorced,Female,No,3,448,9
No,27,6349,1,1,Sales,Sales Executive,Married,Male,Yes,2,449,5
No,54,4869,20,4,Research & Development,Research Scientist,Single,Female,No,3,450,4
No,43,9985,7,3,Research & Development,Healthcare Representative,Married,Female,No,1,451,1
No,45,3697,8,4,Research & Development,Research Scientist,Married,Male,No,4,452,10
No,40,7457,1,2,Sales,Sales Executive,Married,Male,Yes,4,453,4
Yes,29,2119,8,4,Research & Development,Laboratory Technician,Married,Male,Yes,1,454,7
No,29,3983,9,5,Research & Development,Laboratory Technician,Single,Male,No,4,455,3
No,30,6118,5,3,Sales,Sales Executive,Divorced,Female,No,3,456,10
No,27,6214,8,4,Sales,Sales Executive,Married,Female,No,2,458,8
No,37,6347,5,2,Research & Development,Manufacturing Director,Divorced,Male,No,4,460,6
No,38,11510,15,2,Research & Development,Research Director,Divorced,Male,Yes,4,461,11
No,31,7143,7,4,Research & Development,Manufacturing Director,Single,Female,Yes,4,462,11
No,29,8268,10,1,Sales,Sales Executive,Divorced,Female,Yes,2,463,7
No,35,8095,5,4,Research & Development,Manufacturing Director,Single,Male,No,2,464,16
No,23,2904,26,1,Research & Development,Research Scientist,Divorced,Male,No,4,465,4
No,41,6032,6,3,Research & Development,Manufacturing Director,Single,Male,Yes,2,466,5
No,47,2976,4,1,Sales,Sales Representative,Single,Male,No,3,467,0
No,42,15992,23,5,Research & Development,Research Director,Single,Female,No,4,468,1
No,29,4649,2,3,Sales,Sales Executive,Married,Male,No,3,469,4
No,42,2696,2,1,Human Resources,Human Resources,Divorced,Male,Yes,3,470,3
No,32,2370,2,3,Research & Development,Laboratory Technician,Married,Female,No,2,471,8
No,48,12504,29,1,Sales,Manager,Married,Female,No,3,473,0
